word,occurrence,percentage,cumulative
enkel,26,0.000173,0.5741569999999988
hoge,26,0.000173,0.5743299999999988
vir,26,0.000173,0.5745029999999988
op1npo,26,0.000173,0.5746759999999987
duitsland,26,0.000173,0.5748489999999987
min,25,0.000167,0.5750159999999988
stemmen,25,0.000167,0.5751829999999988
muziek,25,0.000167,0.5753499999999988
stond,25,0.000167,0.5755169999999988
trots,25,0.000167,0.5756839999999989
rtl4,25,0.000167,0.5758509999999989
gift,25,0.000167,0.5760179999999989
later,25,0.000167,0.576184999999999
brussel,25,0.000167,0.576351999999999
ouders,25,0.000167,0.576518999999999
precies,25,0.000167,0.576685999999999
les,25,0.000167,0.5768529999999991
team,25,0.000167,0.5770199999999991
regio,25,0.000167,0.5771869999999991
it,25,0.000167,0.5773539999999991
manier,25,0.000167,0.5775209999999992
bezig,25,0.000167,0.5776879999999992
gwn,25,0.000167,0.5778549999999992
npo1,25,0.000167,0.5780219999999993
club,25,0.000167,0.5781889999999993
begint,25,0.000167,0.5783559999999993
haha,25,0.000167,0.5785229999999993
date,25,0.000167,0.5786899999999994
kon,25,0.000167,0.5788569999999994
aangiftes,25,0.000167,0.5790239999999994
ver,25,0.000167,0.5791909999999995
hahaha,25,0.000167,0.5793579999999995
ging,25,0.000167,0.5795249999999995
eenvandaag,24,0.00016,0.5796849999999996
prachtige,24,0.00016,0.5798449999999996
wef,24,0.00016,0.5800049999999997
forum,24,0.00016,0.5801649999999997
centraal,24,0.00016,0.5803249999999998
x,24,0.00016,0.5804849999999998
volk,24,0.00016,0.5806449999999999
actie,24,0.00016,0.5808049999999999
bekend,24,0.00016,0.580965
patiënten,24,0.00016,0.581125
gefeliciteerd,24,0.00016,0.581285
goedemiddag,24,0.00016,0.5814450000000001
echte,24,0.00016,0.5816050000000001
nieuwsuur,24,0.00016,0.5817650000000002
komende,24,0.00016,0.5819250000000002
40,24,0.00016,0.5820850000000003
horen,24,0.00016,0.5822450000000003
you,24,0.00016,0.5824050000000004
lt,24,0.00016,0.5825650000000004
ontdek,24,0.00016,0.5827250000000005
bitcoin,24,0.00016,0.5828850000000005
hart,24,0.00016,0.5830450000000006
minuten,24,0.00016,0.5832050000000006
paar,24,0.00016,0.5833650000000007
zouden,24,0.00016,0.5835250000000007
so,24,0.00016,0.5836850000000008
geef,24,0.00016,0.5838450000000008
rechter,24,0.00016,0.5840050000000009
wacht,24,0.00016,0.5841650000000009
2ekamertweets,23,0.000153,0.5843180000000009
juist,23,0.000153,0.5844710000000009
g,23,0.000153,0.5846240000000008
boven,23,0.000153,0.5847770000000008
eindhoven,23,0.000153,0.5849300000000007
mis,23,0.000153,0.5850830000000007
bedrijf,23,0.000153,0.5852360000000006
ten,23,0.000153,0.5853890000000006
haat,23,0.000153,0.5855420000000006
help,23,0.000153,0.5856950000000005
nederlands,23,0.000153,0.5858480000000005
hulp,23,0.000153,0.5860010000000004
wilt,23,0.000153,0.5861540000000004
hoogte,23,0.000153,0.5863070000000004
beginnen,23,0.000153,0.5864600000000003
